PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,Geometry,ObjectID,x,y,wkid
ED-0303,,"590,109","3,574,910","2,976",,,45,110ALVM,,3806,-11581995.54,3803728.215,102100
TB-0088,,"403,115","3,642,807","4,224",T-00146,110,110,112QTBF,,3814,-11803893.56,3884586.355,102100
ED-0163,,"551,876","3,582,990","3,900",,,144,313CLBD,,3819,-11627153.61,3813652.031,102100
TB-0047,,"405,254","3,661,391","4,529",T-03418,300,300,112QTBF,,3821,-11801560.86,3906859.247,102100
ED-0100,,"564,805","3,593,940","3,290",,,,313CLBD,,3825,-11611769.66,3826590.311,102100
WL-0108,,"620,971","3,614,520","3,637",X,,,313CPTN,,3854,-11544942.44,3850487.788,102100
NM-00039,3.20E+14,"486,446","3,542,771","3,694",,,386,318BSPG,,3856,-11704525.16,3766066.56,102100
SM-0225,,"478,066","3,672,646","5,882",X,,,,,3857,-11714742.35,3920876.004,102100
ED-0139,,"573,055","3,590,060","3,115",,,68,110ALVM,,3868,-11602029.65,3821905.185,102100
BW-0455,,"411,517","3,609,320","4,140",,,200,110ALVM,,3873,-11793536.64,3844695.019,102100
SM-0059,,"444,892","3,650,434","7,708",X,160,160,300YESO,,3884,-11754210.15,3894098.567,102100
BW-0257,,"403,202","3,656,230","4,410",,,400,110ALVM,,3885,-11803947.38,3900652.534,102100
SM-0172,,"465,240","3,648,556","6,124",PN-00696,330,330,300YESO_upper,,3886,-11729957.66,3891961.843,102100
ED-0238,,"572,069","3,581,110","3,190",,,207,110ALVM,,3912,-11603273.2,3811268.946,102100
ED-0323,,"551,393","3,566,650","4,025",,,340,313CPTN,,3913,-11627823.61,3794240.38,102100
TB-0018,,"418,499","3,670,756","6,091",T-02025,400,400,310ABO,,3938,-11785857.06,3918229.888,102100
BW-0855,,"381,476","3,541,880","4,065",,,"1,200",112ANCH,,3944,-11828238.42,3764207.005,102100
ED-0022,,"552,895","3,630,920","3,455",,,,313CKBF,,3957,-11625646.32,3870775.308,102100
SM-0038,,"436,976","3,645,436","8,685",PN-00690?,500,475,300YESO,,3979,-11763603.6,3888060.057,102100
ED-0048,,"556,207","3,612,810","3,360",,,100,110ALVM,,3982,-11621829.78,3849135.71,102100
SM-0070,,"444,737","3,607,529","6,418",X,600,600,260SNAN/300YESO,,3983,-11754110.18,3842845.432,102100
BW-0179,,"399,781","3,662,140","4,350",,,,110ALVM,,3984,-11808097.24,3907691.497,102100
BW-0225,,"401,358","3,657,270","4,342",,,300,110ALVM,,3988,-11806157.89,3901876.146,102100
ED-0300,,"588,285","3,576,630","3,003",,,100,110ALVM,,3989,-11584134.34,3805790.968,102100
ED-0066,,"547,492","3,603,730","3,490",,,,313CKBF,,3995,-11632225.41,3838365.527,102100
ED-0010,,"555,127","3,645,460","3,379",,,111,110ALVM,,4000,-11622895.59,3888145.466,102100
ED-0012,,"554,301","3,637,630","3,416",,,168,110ALVM,,4005,-11623930.58,3878785.87,102100
ED-0241,,"574,731","3,579,810","3,145",,,175,110ALVM,,4006,-11600135.1,3809700.51,102100
SM-0257,,"441,071","3,640,880","7,933",X,80,80,300YESO,,4010,-11758694.64,3882640.365,102100
ED-0009,,"552,705","3,641,740","3,422",,,148,110ALVM,,4011,-11625803.57,3883711.084,102100
SM-0002,,"433,898","3,613,605","7,119",X,,,300YESO,,4017,-11767016.34,3850011.38,102100
SM-0207,,"468,471","3,626,452","6,021",PN-00475,120,120,260SNAN,,4024,-11726024.6,3865546.874,102100
ED-0195,,"570,254","3,586,430","3,135",,,,110ALVM,,4029,-11605376.64,3817610.465,102100
ED-0271,,"537,072","3,575,190","4,150",,,200,313CKBF,,4042,-11644707.31,3804458.014,102100
SM-0001,,"425,532","3,617,549","6,827",T-05126,69,69,310ABO,,4044,-11776981.77,3854645.666,102100
