"","facility_id","sys_loc_code","loc_name","data_provider","subfacility_code","loc_desc","loc_type","loc_purpose","loc_type_2","loc_major_basin","within_facility_yn","loc_county_code","loc_district_code","loc_state_code","loc_minor_basin","custom_field_1","stream_code","custom_field_2","stream_mile","custom_field_3","custom_field_4","phase_code","custom_field_5","remark_1","bore_id","remark_2","start_date","end_date","drilling_method","geologist","sampling_method","drawing_checker","drawing_check_date","drawing_editor","drawing_edit_date","driller","units","depth_to_bedrock","log_date","total_depth","bearing","approved","plunge","drilling_subcontractor","engineer_subcontractor","engineer","estab_company_code","excav_company_code","inspector","inspect_subcontractor","ebatch","map_code","parent_loc_code","status_flag","timezone_code","euid","land_use","hole_diameter","hole_diameter_unit","alert_purge_criteria","offset","station","route","AgencyCd"
"766",1,"YALEMP06D","YALEMP06D","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-6D",NA,"YLMW-6D",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920852,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"767",1,"YALEMP06M","YALEMP06M","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-6M",NA,"YLMW-6M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920853,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"768",1,"YALEMP06S","YALEMP06S","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-6S",NA,"YLMW-6S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920854,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"769",1,"YALEMP07D","YALEMP07D","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-7D",NA,"YLMW-7D",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920855,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"770",1,"YALEMP07M","YALEMP07M","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-7M",NA,"YLMW-7M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920856,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"771",1,"YALEMP07S","YALEMP07S","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-7S",NA,"YLMW-7S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920857,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"772",1,"YALEMP08D","YALEMP08D","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-8D",NA,"YLMW-8D",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920858,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"773",1,"YALEMP08DA","YALEMP08DA","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"MW08D",NA,"MW08D",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920859,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"774",1,"YALEMP08M","YALEMP08M","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-8M",NA,"YLMW-8M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920860,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"775",1,"YALEMP08S","YALEMP08S","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-8S",NA,"YLMW-8S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920861,NA,NA,NA,NA,NA,NA,NA,"ABQ"
